Sample no.,M1,M2,M3,M4,M5,M6,M7,M8,M9
Constituent1 (wt %),,,,,,,,,
SiO2,,,,,,,,,
TiO2,,,,,,,,,
Al2O3,,,,,,,,,
Cr2O3,,,,,,,,,
FeO,,,,,,,,,
Fe2O3,,,,,,,,,
MgO,,,,,,,,,
NiO,,,,,,,,,
CaO,,,,,,,,,
MnO,,,,,,,,,
Na2O,,,,,,,,,
K2O,,,,,,,,,
TiO2,,,,,,,,,
P2O5,,,,,,,,,
Loss on ignition,,,,,,,,,
Trazas (ppm),,,,,,,,,
F,,,,,,,,,
La,,,,,,,,,
Ce,,,,,,,,,
Pr,,,,,,,,,
Nd,,,,,,,,,
Sm,,,,,,,,,
Eu,,,,,,,,,
Gd,,,,,,,,,
Tb,,,,,,,,,
Dy,,,,,,,,,
Ho,,,,,,,,,
Er,,,,,,,,,
Tm,,,,,,,,,
Yb,,,,,,,,,
Ga,,,,,,,,,
Lu,,,,,,,,,
Y,,,,,,,,,
Ba,,,,,,,,,
Sr,,,,,,,,,
Th,,,,,,,,,
U,,,,,,,,,
Nb,,,,,,,,,
Sc,,,,,,,,,
Ta,,,,,,,,,
Li,,,,,,,,,
Zr,,,,,,,,,
Cs,,,,,,,,,
Rb,,,,,,,,,
Cu,,,,,,,,,
Pb,,,,,,,,,
Zn,,,,,,,,,
Mo,,,,,,,,,
Cd,,,,,,,,,
Co,,,,,,,,,
Cr,,,,,,,,,
Ni,,,,,,,,,
V,,,,,,,,,
Mn,,,,,,,,,
